,actual,prediction
6501,0.4321,0.5346275298
6502,0.5926,0.5596568364
6503,0.5185,0.5020460931
6504,0.4877,0.4845648396
6505,0.4074,0.4935320086
6506,0.4383,0.4995764334
6507,0.4383,0.5064189799
6508,0.5062,0.4871149623
6509,0.5062,0.4848371686
6510,0.5062,0.48523586
6511,0.5185,0.5025479952
6512,0.4074,0.5028392436
6513,0.4877,0.4958974141
6514,0.4506,0.4820552717
6515,0.4506,0.4853366092
6516,0.4506,0.4849828942
6517,0.5432,0.5080867276
6518,0.4753,0.4853517693
6519,0.5432,0.5065878443
6520,0.4753,0.4853874488
6521,0.5432,0.5085779773
6522,0.4753,0.4866917258
6523,0.5432,0.5147655595
6524,0.4753,0.4855206664
6525,0.5432,0.5059146435
6526,0.5926,0.5085036632
6527,0.537,0.4406834966
6528,0.537,0.4880457484
6529,0.537,0.489264606
6530,0.537,0.4896590887
6531,0.537,0.4880949343
6532,0.5432,0.5194805276
6533,0.6049,0.4846081094
6534,0.4383,0.4859965296
6535,0.4383,0.4878971272
6536,0.3951,0.4854815332
6537,0.4506,0.4848799668
6538,0.4877,0.4845279299
6539,0.4506,0.4869118597
6540,0.4877,0.4863665643
6541,0.4506,0.4868272249
6542,0.4877,0.4860272739
6543,0.4506,0.4851469768
6544,0.4877,0.4845591488
6545,0.4506,0.4851407492
6546,0.4877,0.484558418
6547,0.4506,0.4970280335
6548,0.4877,0.486795442
6549,0.4506,0.4864428367
6550,0.4877,0.4863120031
6551,0.4136,0.4969410979
6552,0.4691,0.4944392153
6553,0.5556,0.4983663348
6554,0.4753,0.5030350277
6555,0.5247,0.488446658
6556,0.4753,0.4900141273
6557,0.4753,0.5017268336
6558,0.5926,0.4922350546
6559,0.4383,0.5053929691
6560,0.5247,0.5381039063
6561,0.5062,0.5074306573
6562,0.4383,0.528052364
6563,0.4383,0.5074064819
6564,0.4506,0.4868443867
6565,0.4506,0.4846776673
6566,0.4506,0.4957412095
6567,0.4383,0.5072460055
6568,0.5926,0.5048544012
6569,0.5494,0.4945046632
6570,0.4074,0.5115780213
6571,0.4877,0.4950994354
6572,0.4074,0.4889664434
6573,0.4383,0.4796768358
6574,0.4506,0.4986214186
6575,0.5432,0.5012524643
6576,0.4691,0.5063820022
6577,0.5062,0.4987328216
6578,0.4691,0.5168527215
6579,0.5062,0.503806194
6580,0.4691,0.4919978928
6581,0.4691,0.5196795336
6582,0.4506,0.4861244547
6583,0.4321,0.4921440263
6584,0.4383,0.4977142289
6585,0.4877,0.5195075004
6586,0.537,0.4910180701
6587,0.6049,0.4927814431
6588,0.537,0.4856300069
6589,0.6049,0.4852118764
6590,0.537,0.4877357642
6591,0.6049,0.4854219843
6592,0.4753,0.4862291722
6593,0.5123,0.5029686718
6594,0.5494,0.5027159511
6595,0.5432,0.502830161
6596,0.4506,0.4860766494
6597,0.6049,0.498754437
6598,0.5432,0.5156125053
6599,0.4321,0.5097861768
6600,0.5802,0.4954740507
6601,0.5802,0.4891162475
6602,0.5802,0.4962850743
6603,0.5494,0.4914134015
6604,0.4383,0.4847940365
6605,0.4074,0.4845304345
6606,0.5556,0.4866906565
6607,0.5556,0.5195908511
6608,0.4506,0.4954732998
6609,0.5185,0.5017407182
6610,0.5247,0.5015073155
6611,0.5926,0.4864377294
6612,0.5247,0.5038949745
6613,0.5926,0.4868155332
6614,0.5247,0.5106399602
6615,0.5926,0.4971544704
6616,0.4753,0.4846571595
6617,0.5123,0.526320512
6618,0.5556,0.5463460153
6619,0.5556,0.5376621855
6620,0.3951,0.4864840713
6621,0.5494,0.490026198
6622,0.5432,0.484539347
6623,0.6049,0.5521268971
6624,0.6049,0.5454232718
6625,0.5432,0.4888490807
6626,0.5432,0.4889198527
6627,0.5432,0.4701449725
6628,0.4753,0.5031222011
6629,0.3951,0.4849376411
6630,0.6049,0.5472290993
6631,0.3951,0.4849084867
6632,0.6049,0.5471116303
6633,0.4877,0.4851082394
6634,0.4877,0.4957189942
6635,0.4877,0.4851107299
6636,0.4877,0.4851400143
6637,0.4877,0.4962410832
6638,0.4753,0.5014337124
6639,0.4506,0.5194805276
6640,0.537,0.516933052
6641,0.4753,0.4993883314
6642,0.4383,0.5016629724
6643,0.5185,0.4983637985
6644,0.4383,0.4957259824
6645,0.5185,0.4939331011
6646,0.4877,0.4979766018
6647,0.4506,0.4847249551
6648,0.5802,0.4871092983
6649,0.4506,0.4846330147
6650,0.5802,0.4861389369
6651,0.4877,0.5046175013
6652,0.6049,0.5150491989
6653,0.5556,0.544508512
6654,0.5556,0.545031525
6655,0.4383,0.4971253501
6656,0.4136,0.4851534088
6657,0.4383,0.4910547328
6658,0.4136,0.484796262
6659,0.4383,0.5019832179
6660,0.4136,0.4955846294
6661,0.4383,0.4924254422
6662,0.4136,0.4848705557
6663,0.4383,0.5034786285
6664,0.4136,0.4866872526
6665,0.4383,0.5019832179
6666,0.4136,0.4955846294
6667,0.5247,0.4973779398
6668,0.5556,0.4969037845
6669,0.4506,0.5007293054
6670,0.4321,0.4885258437
6671,0.4321,0.4887262582
6672,0.4753,0.505825813
6673,0.4753,0.4870529923
6674,0.5926,0.4877968288
6675,0.5926,0.5235531527
6676,0.5556,0.4889941245
6677,0.4383,0.4859437136
6678,0.4506,0.485224312
6679,0.4321,0.4872882694
6680,0.4506,0.4892543138
6681,0.4383,0.5188453709
6682,0.5123,0.5081901414
6683,0.4506,0.4922137404
6684,0.4506,0.4862222952
6685,0.5926,0.4889833665
6686,0.4877,0.4845083538
6687,0.5185,0.4880457461
6688,0.5185,0.4888181772
6689,0.5432,0.5366212319
6690,0.4383,0.511015228
6691,0.5432,0.5312538713
6692,0.4383,0.5040997939
6693,0.4074,0.4865360532
6694,0.3951,0.4925995285
6695,0.5556,0.5088532884
6696,0.4691,0.501209314
6697,0.4321,0.4965949746
6698,0.4074,0.4844827633
6699,0.537,0.4866478899
6700,0.3951,0.4851978384
6701,0.5432,0.4958013964
6702,0.5494,0.4944859092
6703,0.5926,0.5019187293
6704,0.4136,0.4957825776
6705,0.5247,0.4974805532
6706,0.5247,0.505255506
6707,0.5556,0.50284678
6708,0.4136,0.4858553443
6709,0.4136,0.4868522221
6710,0.4691,0.4952215022
6711,0.4691,0.4845420943
6712,0.5494,0.4922171742
6713,0.5494,0.492144834
6714,0.5494,0.4918654775
