a,b,c,d,e,f,g,result
33,0.9394,0.0909,0.2121,0.0000,0.0303,0.0000,0.6209
2,1.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.3092
149,4.2081,0.6376,1.2081,0.0134,0.3221,0.1745,0.4416
39,1.4103,0.2821,0.3846,0.0000,0.1026,0.0256,0.6358
30,2.8667,0.1000,0.6667,0.0333,0.3333,0.0000,0.6209
32,2.4688,0.2188,0.5938,0.0625,0.3750,0.0000,0.4416
2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4575
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5789
10,0.9000,0.2000,0.1000,0.0000,0.0000,0.0000,0.5130
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5130
1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5359
36,1.3889,0.1111,0.4167,0.0000,0.2778,0.0000,0.5789
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5658
10,0.7000,0.1000,0.1000,0.0000,0.0000,0.0000,0.6358
128,3.7422,0.5859,1.1953,0.0156,0.3828,0.0547,0.4575
32,2.5313,0.3438,0.5000,0.0313,0.3125,0.0000,0.4575
32,2.7813,0.1250,0.2813,0.0000,0.0000,0.0000,0.5658
142,3.7958,0.5986,1.2324,0.0282,0.8028,0.0634,0.6209
81,3.0247,0.5432,1.0988,0.0370,0.4938,0.0617,0.5130
14,2.2857,0.0714,0.7143,0.0000,0.5000,0.0714,0.4416
1,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.4444
121,2.8430,0.3306,0.7934,0.0000,0.4298,0.0083,0.5260
4,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.4575
37,0.8108,0.0811,0.1892,0.0000,0.0811,0.0000,0.5789
8,0.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.4481
2,1.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.4545
153,3.8301,0.5229,1.0915,0.0719,0.5752,0.0261,0.5033
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5130
2,2.5000,0.5000,1.0000,0.0000,0.0000,0.0000,0.4545
95,2.9789,0.1789,0.7684,0.0000,0.2421,0.0000,0.4481
93,3.2043,0.4946,0.8925,0.0215,0.3978,0.0430,0.5359
64,1.5469,0.1563,0.4688,0.0469,0.2813,0.0000,0.5658
32,1.8125,0.1875,0.4375,0.0000,0.0313,0.0313,0.4575
33,1.3636,0.0000,0.2727,0.0000,0.1212,0.0000,0.5229
10,1.4000,0.1000,0.3000,0.0000,0.3000,0.0000,0.5789
37,0.9189,0.1351,0.2703,0.0000,0.1622,0.0000,0.4444
23,0.3913,0.0000,0.0000,0.0000,0.0000,0.0000,0.5229
66,1.9091,0.4697,0.4545,0.0000,0.1212,0.0303,0.6209
7,1.5714,0.1429,0.1429,0.0000,0.0000,0.0000,0.5130
41,3.2439,0.3171,0.9024,0.0244,0.3902,0.0244,0.3092
105,3.5048,0.6286,0.9810,0.0381,0.2571,0.0476,0.5789
122,3.7869,0.9180,1.2951,0.0984,0.4672,0.0492,0.5033
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5359
36,2.1944,0.1111,0.3333,0.0000,0.1944,0.0000,0.4416
40,2.2000,0.1750,0.4500,0.0500,0.3750,0.0000,0.5130
145,3.6000,0.5310,1.0345,0.0276,0.5448,0.1103,0.6358
150,3.5467,0.6067,1.0867,0.0200,0.6267,0.1267,0.5260
73,2.9315,0.3288,0.7534,0.0274,0.3288,0.0822,0.5229
133,3.5789,0.5940,1.1805,0.0677,0.5113,0.0075,0.3092
153,4.0458,0.6013,1.4837,0.1373,0.8366,0.0196,0.5033
20,1.2500,0.2000,0.3000,0.0000,0.1000,0.0000,0.5229
3,2.0000,0.3333,0.6667,0.0000,0.3333,0.0000,0.4481
97,3.2887,0.4433,1.1443,0.0412,0.6289,0.0928,0.5229
10,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4416
90,3.8778,0.6111,1.0889,0.1556,0.8000,0.1111,0.4416
153,4.0392,0.5752,1.2353,0.0327,0.6471,0.0196,0.4444
2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4416
17,1.3529,0.0588,0.1176,0.0000,0.0588,0.0000,0.4444
6,2.3333,0.3333,0.5000,0.0000,0.1667,0.0000,0.5229
30,2.0667,0.2333,0.4667,0.1000,0.3000,0.0000,0.4545
77,2.3377,0.4156,0.6753,0.0000,0.3117,0.0519,0.5260
88,3.9659,0.7386,1.1591,0.0114,0.2500,0.0455,0.4444
127,3.8425,0.5433,1.2913,0.0472,0.6220,0.1260,0.4545
152,3.8684,0.5395,1.3158,0.0329,0.5724,0.0526,0.4575
42,1.3571,0.0714,0.2619,0.0000,0.0476,0.0000,0.4416
57,1.7895,0.1754,0.4561,0.0351,0.3158,0.0351,0.5359
3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.4481
14,0.6429,0.0714,0.0000,0.0000,0.0000,0.0000,0.4444
133,4.0752,0.8195,1.3985,0.0376,0.3308,0.3459,0.6209
38,2.4474,0.2368,0.4474,0.0526,0.2105,0.0000,0.4444
1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6358
93,2.9677,0.3871,0.9677,0.0753,0.5269,0.0108,0.3092
11,1.4545,0.3636,0.5455,0.0000,0.3636,0.0000,0.5260
1,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5658
115,3.1130,0.3304,0.7739,0.0174,0.4087,0.0174,0.5229
3,2.0000,0.3333,1.0000,0.0000,0.3333,0.0000,0.4416
4,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.5130
3,1.3333,0.0000,0.3333,0.0000,0.0000,0.0000,0.5033
121,3.4298,0.8017,1.2975,0.0992,0.8430,0.1074,0.5260
134,3.1343,0.5149,1.0373,0.0448,0.4104,0.0522,0.5789
14,0.7857,0.0714,0.2143,0.0000,0.0714,0.0000,0.5260
13,1.0000,0.1538,0.1538,0.0000,0.0000,0.0000,0.4545
118,3.6017,0.6780,1.2458,0.0254,0.6780,0.1610,0.5130
26,1.6154,0.0000,0.1923,0.0000,0.1154,0.0000,0.5260
2,1.5000,0.5000,0.5000,0.0000,0.5000,0.0000,0.3092
150,3.9533,0.7800,1.3533,0.0200,0.4067,0.0800,0.4481
40,0.7000,0.1000,0.1750,0.0000,0.0750,0.0000,0.5130
43,2.4884,0.2791,0.6512,0.0000,0.4884,0.0000,0.3092
54,3.4630,0.5000,0.9444,0.0000,0.3333,0.0185,0.5033
54,1.9074,0.3148,0.6111,0.0000,0.2407,0.0185,0.4575
32,2.5625,0.3750,0.5313,0.0625,0.3125,0.0000,0.4416
14,3.3571,0.2857,0.5714,0.0000,0.0000,0.0000,0.4444
34,0.9118,0.0294,0.1471,0.0294,0.0588,0.0000,0.4444
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4575
32,2.5313,0.0938,0.2813,0.0000,0.2188,0.0000,0.6358
122,3.5574,0.5574,1.1721,0.0574,0.5246,0.0328,0.4444
144,3.7569,0.5139,1.0417,0.0139,0.3542,0.0903,0.5229
54,2.4259,0.3333,0.8519,0.0370,0.4630,0.0185,0.5130
3,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444
9,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.6209
153,4.0327,0.9412,1.4379,0.1176,0.6667,0.2680,0.6209
22,1.5000,0.2727,0.2273,0.0000,0.0455,0.0000,0.5130
38,1.2105,0.0789,0.2105,0.0000,0.0526,0.0000,0.5359
35,2.3143,0.2857,0.4286,0.0286,0.3429,0.0000,0.5260
4,1.5000,0.2500,0.0000,0.0000,0.0000,0.0000,0.5658
35,1.8286,0.1143,0.3143,0.0000,0.0857,0.0000,0.5359
146,3.8493,0.7192,0.9247,0.0000,0.4178,0.1301,0.5130
17,0.7647,0.0588,0.1176,0.0000,0.0000,0.0000,0.5033
33,1.5455,0.2121,0.3636,0.0303,0.2121,0.0000,0.5658
67,2.8806,0.3881,0.7463,0.0299,0.3582,0.0299,0.4444
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444
25,1.6400,0.0400,0.0800,0.0000,0.0000,0.0400,0.4444
21,1.5714,0.2857,0.4286,0.0000,0.1905,0.0000,0.5658
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5229
29,1.5172,0.0345,0.1724,0.0000,0.0690,0.0000,0.5033
76,2.6974,0.3553,0.6053,0.0132,0.2500,0.0395,0.5359
43,2.5349,0.3023,0.7442,0.0233,0.2791,0.0000,0.5229
7,2.4286,0.1429,0.4286,0.0000,0.1429,0.0000,0.5229
30,2.4333,0.4333,0.6667,0.0333,0.2667,0.0000,0.5033
45,0.7333,0.1333,0.1778,0.0444,0.0889,0.0000,0.5260
76,2.8289,0.4605,0.7763,0.0395,0.2500,0.0658,0.5229
102,3.9608,0.4902,1.1569,0.0000,0.3039,0.0196,0.4481
5,2.8000,0.6000,1.0000,0.0000,0.2000,0.0000,0.4444
2,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.4481
31,1.0000,0.1290,0.0968,0.0000,0.0000,0.0323,0.5033
122,3.8115,0.7623,1.2295,0.0410,0.4508,0.0246,0.5789
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4575
13,0.6923,0.0000,0.0769,0.0000,0.0000,0.0000,0.4545
9,1.8889,0.0000,0.3333,0.0000,0.2222,0.0000,0.5130
34,2.5882,0.1765,0.3824,0.0000,0.1471,0.0000,0.3092
36,1.9722,0.1667,0.4167,0.0278,0.1944,0.0000,0.4444
15,3.4667,0.2667,0.8000,0.0000,0.2667,0.0000,0.4545
3,1.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444
32,1.5000,0.1875,0.2813,0.0000,0.1250,0.0625,0.5130
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5789
3,1.6667,0.6667,0.3333,0.3333,0.6667,0.0000,0.6209
55,2.8909,0.4909,0.9091,0.0000,0.3636,0.1091,0.5359
58,3.2069,0.6897,0.9138,0.0000,0.2586,0.1552,0.3092
34,2.2647,0.0882,0.2353,0.0000,0.1176,0.0000,0.5130
