,actual,prediction,,
6501,0.4321,0.5346275298,,0.1025275298
6502,0.5926,0.5596568364,,0.0329431636
6503,0.5185,0.5020460931,,0.0164539069
6504,0.4877,0.4845648396,,0.0031351604
6505,0.4074,0.4935320086,,0.0861320086
6506,0.4383,0.4995764334,,0.0612764334
6507,0.4383,0.5064189799,,0.0681189799
6508,0.5062,0.4871149623,,0.0190850377
6509,0.5062,0.4848371686,,0.0213628314
6510,0.5062,0.48523586,,0.02096414
6511,0.5185,0.5025479952,,0.0159520048
6512,0.4074,0.5028392436,,0.0954392436
6513,0.4877,0.4958974141,,0.0081974141
6514,0.4506,0.4820552717,,0.0314552717
6515,0.4506,0.4853366092,,0.0347366092
6516,0.4506,0.4849828942,,0.0343828942
6517,0.5432,0.5080867276,,0.0351132724
6518,0.4753,0.4853517693,,0.0100517693
6519,0.5432,0.5065878443,,0.0366121557
6520,0.4753,0.4853874488,,0.0100874488
6521,0.5432,0.5085779773,,0.0346220227
6522,0.4753,0.4866917258,,0.0113917258
6523,0.5432,0.5147655595,,0.0284344405
6524,0.4753,0.4855206664,,0.0102206664
6525,0.5432,0.5059146435,,0.0372853565
6526,0.5926,0.5085036632,,0.0840963368
6527,0.537,0.4406834966,,0.0963165034
6528,0.537,0.4880457484,,0.0489542516
6529,0.537,0.489264606,,0.047735394
6530,0.537,0.4896590887,,0.0473409113
6531,0.537,0.4880949343,,0.0489050657
6532,0.5432,0.5194805276,,0.0237194724
6533,0.6049,0.4846081094,,0.1202918906
6534,0.4383,0.4859965296,,0.0476965296
6535,0.4383,0.4878971272,,0.0495971272
6536,0.3951,0.4854815332,,0.0903815332
6537,0.4506,0.4848799668,,0.0342799668
6538,0.4877,0.4845279299,,0.0031720701
6539,0.4506,0.4869118597,,0.0363118597
6540,0.4877,0.4863665643,,0.0013334357
6541,0.4506,0.4868272249,,0.0362272249
6542,0.4877,0.4860272739,,0.0016727261
6543,0.4506,0.4851469768,,0.0345469768
6544,0.4877,0.4845591488,,0.0031408512
6545,0.4506,0.4851407492,,0.0345407492
6546,0.4877,0.484558418,,0.003141582
6547,0.4506,0.4970280335,,0.0464280335
6548,0.4877,0.486795442,,0.000904558
6549,0.4506,0.4864428367,,0.0358428367
6550,0.4877,0.4863120031,,0.0013879969
6551,0.4136,0.4969410979,,0.0833410979
6552,0.4691,0.4944392153,,0.0253392153
6553,0.5556,0.4983663348,,0.0572336652
6554,0.4753,0.5030350277,,0.0277350277
6555,0.5247,0.488446658,,0.036253342
6556,0.4753,0.4900141273,,0.0147141273
6557,0.4753,0.5017268336,,0.0264268336
6558,0.5926,0.4922350546,,0.1003649454
6559,0.4383,0.5053929691,,0.0670929691
6560,0.5247,0.5381039063,,0.0134039063
6561,0.5062,0.5074306573,,0.0012306573
6562,0.4383,0.528052364,,0.089752364
6563,0.4383,0.5074064819,,0.0691064819
6564,0.4506,0.4868443867,,0.0362443867
6565,0.4506,0.4846776673,,0.0340776673
6566,0.4506,0.4957412095,,0.0451412095
6567,0.4383,0.5072460055,,0.0689460055
6568,0.5926,0.5048544012,,0.0877455988
6569,0.5494,0.4945046632,,0.0548953368
6570,0.4074,0.5115780213,,0.1041780213
6571,0.4877,0.4950994354,,0.0073994354
6572,0.4074,0.4889664434,,0.0815664434
6573,0.4383,0.4796768358,,0.0413768358
6574,0.4506,0.4986214186,,0.0480214186
6575,0.5432,0.5012524643,,0.0419475357
