,actual,prediction
6501,0.4321,0.4970146992
6502,0.5926,0.4970146996
6503,0.5185,0.4970146995
6504,0.4877,0.4970146995
6505,0.4074,0.4970146995
6506,0.4383,0.4970146995
6507,0.4383,0.4970146995
6508,0.5062,0.4970146995
6509,0.5062,0.4970146995
6510,0.5062,0.4970146995
6511,0.5185,0.4975419631
6512,0.4074,0.4970146995
6513,0.4877,0.4970146995
6514,0.4506,0.4970146995
6515,0.4506,0.4970146995
6516,0.4506,0.4970146995
6517,0.5432,0.4970146995
6518,0.4753,0.4970146995
6519,0.5432,0.4970146995
6520,0.4753,0.4970146995
6521,0.5432,0.4970146995
6522,0.4753,0.4641407469
6523,0.5432,0.5381905157
6524,0.4753,0.4899908546
6525,0.5432,0.5137334505
6526,0.5926,0.4970146995
6527,0.537,0.4970146995
6528,0.537,0.4970146995
6529,0.537,0.4970146995
6530,0.537,0.4970146995
6531,0.537,0.4970146995
6532,0.5432,0.4975426461
6533,0.6049,0.4970146995
6534,0.4383,0.4970146995
6535,0.4383,0.4970146995
6536,0.3951,0.4970146995
6537,0.4506,0.4970146995
6538,0.4877,0.4970146995
6539,0.4506,0.4970146995
6540,0.4877,0.4970146995
6541,0.4506,0.4970146995
6542,0.4877,0.4970146995
6543,0.4506,0.4970146995
6544,0.4877,0.4970146995
6545,0.4506,0.4970146995
6546,0.4877,0.4970146995
6547,0.4506,0.4552273884
6548,0.4877,0.4987220055
6549,0.4506,0.4970146995
6550,0.4877,0.4970146995
6551,0.4136,0.4970146995
6552,0.4691,0.4970146995
6553,0.5556,0.4970146995
6554,0.4753,0.4970146995
6555,0.5247,0.4970146995
6556,0.4753,0.4970146995
6557,0.4753,0.4970146995
6558,0.5926,0.4970146995
6559,0.4383,0.4970146995
6560,0.5247,0.4970146995
6561,0.5062,0.4970146995
6562,0.4383,0.4970146995
6563,0.4383,0.4970146995
6564,0.4506,0.4970195774
6565,0.4506,0.4970146995
6566,0.4506,0.5076291107
6567,0.4383,0.4970146961
6568,0.5926,0.4970146995
6569,0.5494,0.498320494
6570,0.4074,0.4970146995
6571,0.4877,0.4970146995
6572,0.4074,0.4970146995
6573,0.4383,0.5297612295
6574,0.4506,0.4970146995
6575,0.5432,0.4970146995
6576,0.4691,0.4970146995
6577,0.5062,0.4970146995
6578,0.4691,0.4970147068
6579,0.5062,0.4970146995
